title,datetime,link,media,sentiment
Where to Go if You Forget Your Hotmail Password (Published 2017),2017-01-01 00:00:00,https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMDIvdGVjaG5vbG9neS9wZXJzb25hbHRlY2gvZm9yZ290LWhvdG1haWwtcGFzc3dvcmQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,The New York Times, neutral
Microsoft Corporation's Surface Studio Is Exceeding Expectations,2017-01-03 00:00:00,https://news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9tYXJrZXRzL21pY3Jvc29mdC1jb3Jwb3JhdGlvbnMtc3VyZmFjZS1zdHVkaW8taXMtZXhjZWVkaW5nLWV4cGVjdGF0aW9uc9IBZ2h0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9tYXJrZXRzL21pY3Jvc29mdC1jb3Jwb3JhdGlvbnMtc3VyZmFjZS1zdHVkaW8taXMtZXhjZWVkaW5nLWV4cGVjdGF0aW9ucy5hbXA?hl=en-US&gl=US&ceid=US%3Aen,Fox Business, positive
Is it time to swap your Mac for a Windows laptop?,2017-01-06 00:00:00,https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMTcvamFuLzA3L21hYy13aW5kb3dzLXBjLW1hY2Jvb2stcHJvLW1pY3Jvc29mdC1zdXJmYWNlLWJvb2vSAWRodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vdGVjaG5vbG9neS8yMDE3L2phbi8wNy9tYWMtd2luZG93cy1wYy1tYWNib29rLXByby1taWNyb3NvZnQtc3VyZmFjZS1ib29r?hl=en-US&gl=US&ceid=US%3Aen,The Guardian, neutral
Microsoft Makes Significant Windows 10 Design Changes,2017-01-07 00:00:00,https://news.google.com/articles/CBMiXGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ29yZG9ua2VsbHkvMjAxNy8wMS8wOC9taWNyb3NvZnQtd2luZG93cy0xMC1uZXctdXNlci1pbnRlcmZhY2Uv0gEA?hl=en-US&gl=US&ceid=US%3Aen,Forbes, neutral
Indus pips Apple & Microsoft to become the second largest smartphone operating system in India,2017-01-07 00:00:00,https://news.google.com/articles/CBMikwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vc21hbGwtYml6L3N0YXJ0dXBzL211bWJhaS1iYXNlZC1pbmR1cy1ob2xkcy1zZWNvbmQtbGFyZ2VzdC1tYXJrZXQtc2hhcmUtZm9yLW1vYmlsZS1vcy1pbi1pbmRpYS9hcnRpY2xlc2hvdy81NjM5NDQ1Ni5jbXPSAZcBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL3NtYWxsLWJpei9zdGFydHVwcy9tdW1iYWktYmFzZWQtaW5kdXMtaG9sZHMtc2Vjb25kLWxhcmdlc3QtbWFya2V0LXNoYXJlLWZvci1tb2JpbGUtb3MtaW4taW5kaWEvYW1wX2FydGljbGVzaG93LzU2Mzk0NDU2LmNtcw?hl=en-US&gl=US&ceid=US%3Aen,The Economic Times, neutral
What Makes Israel's Innovation Ecosystem So Successful,2017-01-08 00:00:00,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZGF2aWR5aW4vMjAxNy8wMS8wOS93aGF0LW1ha2VzLWlzcmFlbHMtaW5ub3ZhdGlvbi1lY29zeXN0ZW0tc28tc3VjY2Vzc2Z1bC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Forbes, neutral
Atlassian Acquires Popular Team Productivity App Trello For $425 Million,2017-01-08 00:00:00,https://news.google.com/articles/CBMie2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYWxleGtvbnJhZC8yMDE3LzAxLzA5L2F0bGFzc2lhbi1hY3F1aXJlcy1wb3B1bGFyLXRlYW0tcHJvZHVjdGl2aXR5LWFwcC10cmVsbG8tZm9yLTQyNS1taWxsaW9uL9IBf2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYWxleGtvbnJhZC8yMDE3LzAxLzA5L2F0bGFzc2lhbi1hY3F1aXJlcy1wb3B1bGFyLXRlYW0tcHJvZHVjdGl2aXR5LWFwcC10cmVsbG8tZm9yLTQyNS1taWxsaW9uL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,Forbes, positive
Apple iPhone: Microsoft's Steve Ballmer Once Thought It Was a Mistake,2017-01-09 00:00:00,https://news.google.com/articles/CBMiOmh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8xMC9zdGV2ZS1iYWxsbWVyLWFwcGxlLWlwaG9uZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Fortune, negative
"Moderators who had to view child abuse content sue Microsoft, claiming PTSD",2017-01-10 00:00:00,https://news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMTcvamFuLzExL21pY3Jvc29mdC1lbXBsb3llZXMtY2hpbGQtYWJ1c2UtbGF3c3VpdC1wdHNk0gFfaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3RlY2hub2xvZ3kvMjAxNy9qYW4vMTEvbWljcm9zb2Z0LWVtcGxveWVlcy1jaGlsZC1hYnVzZS1sYXdzdWl0LXB0c2Q?hl=en-US&gl=US&ceid=US%3Aen,The Guardian, negative
Microsoft staff 'suffering from PTSD',2017-01-11 00:00:00,https://news.google.com/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy90ZWNobm9sb2d5LTM4NTkyMDg50gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3RlY2hub2xvZ3ktMzg1OTIwODkuYW1w?hl=en-US&gl=US&ceid=US%3Aen,BBC.com, neutral
