Instruction,Input,Output
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Facebook Live is changing the world - but not in the way it hoped
* Facebook's New Head Of News Has Close Ties To Conservative Politics

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 5.6%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Instagram turns up heat on Snapchat with video ads in 'stories'

Negative Headlines:


Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.75%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Oculus cost $3B not $2B, Zuckerberg says in trial
* Civil rights groups urge Facebook to fix 'racially biased' moderation system
* Virtual Reality's Boy Wonder Draws Fire at Facebook Trial

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.65%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Hugo Barra to Lead Facebook's Virtual Reality Efforts After Leaving China's Xiaomi

Negative Headlines:
* Actor Kills Himself On Facebook Live After Sexual Assault Arrest

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.52%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Facebook Ordered To Pay $500 Million In Oculus Lawsuit
* Facebook owes ZeniMax $500M in Oculus suit
* Top recruiters including HUL, Adobe, Google give IITs a miss",flat
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Company behind Facebook, Uber and Netflix payments reveals huge transaction growth

Negative Headlines:
* Why Twitter's Problems Aren't Going Away
* Facebook's Oculus Is Having a Rough Start to 2017
* The bruising clash over a Facebook Live stream

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.61%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Unveils Job Postings And Applications, Taking On LinkedIn, Glassdoor
* Mark Zuckerberg: Facebook Can Help Build Global Community

Negative Headlines:
* Pricey Virtual-Reality Headsets Slow to Catch On
* Snapchat IPO: Why Snap Stock Just Got a Lot Cheaper
* Mark Zuckerberg says change the world, yet he sets the rules

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.39%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Getting Shares of Fast-Growing Young Firms Is a Snap for Fidelity Manager
* Snap Prices IPO Above Range At $17 A Share, Valuing Company At $24 Billion
* The rise of Snapchat in photos as it IPOs.
* Snap’s market cap surpasses Twitter, Hershey
* Snap shares soar in debut after largest IPO since 2014

Negative Headlines:
* Snapchat's Big Weakness: The Olds
* Free Trial Of Beauty Cream Ends Up Being Quite Costly
* Franklin Graham Calls for 'Beauty and the Beast' Boycott Over Gay Character

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.56%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Facebook Reports BBC To Police For Uncovering Child Porn Hosting On Platform

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.0%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Roblox Unearths $92 Million to Challenge Microsoft's Minecraft

Negative Headlines:


Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.17%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Amazon CEO Jeff Bezos Is The Biggest Billionaire Gainer On The 2017 List
* Domino's stock has outperformed Google, Facebook, Apple, and Amazon this decade

Negative Headlines:
* Suspected gang rape of Chicago teen streamed on Facebook Live
* Lithuanian man's phishing tricked US tech companies into wiring over $100m

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.29%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Debuts Face Filters in a Shot at Snapchat | TIME

Negative Headlines:
* Oculus Founder Exits Facebook After Criticism on Election Memes
* Oculus co-founder and Rift creator Palmer Luckey leaves Facebook following controversy, lawsuit
* Oculus co-founder Palmer Luckey is leaving Facebook - Silicon Valley Business Journal
* Palmer Luckey: Oculus creator to leave Facebook after difficult 12 months
* Palmer Luckey: Trump-supporting Oculus founder leaves Facebook

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.23%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* The short, troubled life of Nivea's controversial ""White Is Purity"" ad embraced by the alt-right and other white 

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 1.05%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* How Facebook keeps employees happy

Negative Headlines:


Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 1.17%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook's Next Big Thing Is Augmented Reality, Says Mark Zuckerberg

Negative Headlines:


Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.6%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Why You Should Own Facebook And Not Snapchat
* Fangs: the lightning rise of Facebook, Amazon, Netflix and Google

Negative Headlines:
* Thai Man Kills Baby Daughter in Video Posted Live to Facebook
* Facebook and Google were victims of a $100 million dollar phishing scam: Fortune
* Google and Facebook duped in huge 'scam'
* Facebook and Google were conned out of $100m in phishing scheme

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 3.29%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook tries to fix violent video problem with 3000 new workers

Negative Headlines:
* Facebook's Female Engineers Claim Gender Bias - WSJ
* Facebook nears ad-only business model as game revenue falls
* USA Today asks FBI to investigate millions of fake Facebook accounts

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 1.46%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Evan Spiegel Doesn't Seem Worried About Facebook Copying Snapchat

Negative Headlines:
* Snapchat Parent Posts Disappointing User Growth; Stock Plunges
* After a Monster IPO, Snapchat Fails to Impress
* After losing a quarter of his net worth, Snap CEO Evan Spiegel scoffs at growth shortfall and rival Facebook

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.48%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* World's 500 Richest People Lose $35 Billion From Trump Turmoil
* E.U. Fines Facebook $122 Million Over Disclosures in WhatsApp Deal (Published 2017)
* Facebook will pay $122 million in fines to the E.U.
* Market turmoil over Trump cost Mark Zuckerberg $2 billion

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 1.42%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Tencent On Top In China -- But How Does It Compare With World's Tech Titans?
* The World's Largest Tech Companies 2017: Apple And Samsung Lead, Facebook Rises
* Chan Zuckerberg-Backed Andela Training Company Expands Into Uganda
* 2 Sides To The Twilio Coin: JMP Securities Maintains Outperform Rating - Twilio (NYSE:TWLO)

Negative Headlines:
* Snap Inc (SNAP) Business Model Is Flawed; Here's Why

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.62%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* How a 33-year-old turned $200 into $1 million in 92 days selling Kevlar pants online
* Paris climate agreement: Apple, Facebook, Google CEOs urge support

Negative Headlines:
* The Whistleblower Behind Caterpillar's Massive Tax Headache Could Make $600 Million

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.81%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Vodafone to stop its ads appearing on fake news and hate speech sites
* Digital Realty expands data center reach with DuPont Fabros buy

Negative Headlines:


Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 2.62%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Apple's AA+ rating affirmed at S&P Global, matching Google's Alphabet and the U.S.
* Sheryl Sandberg Leads Facebook's Global Courtship Of Small Businesses

Negative Headlines:
* Revealed: Facebook exposed identities of moderators to suspected terrorists

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.48%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook to Stream Live Champions League Soccer in Deal With Fox
* Tencent Dominates in China. Next Challenge Is Rest of the World

Negative Headlines:
* Delete Hate Speech or Pay Up, Germany Tells Social Media Companies (Published 2017)

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 1.7%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Basirhat, Baduria, West Bengal riots LIVE Updates: Municipal Corporation, BJP workers clash over Kailash Vijayvargiya comments

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.03%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook to Release Cheaper Oculus Virtual Reality Headset

Negative Headlines:


Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 4.21%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Sizmek to Acquire Fellow Ad Tech Company Rocket Fuel for $125.5 Million
* Facebook's Stock Among The Top Picks Heading Into Earnings

Negative Headlines:


Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.94%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Mark Zuckerberg's got the next 5 years figured out and Facebook stock is cheap, Cramer says
* Facebook's Earnings Continues To Impress Analysts, Stifel Sees Upside To $200 Per Share
* Facebook totally dominates the list of most popular social media apps

Negative Headlines:
* 'It's digital colonialism': how Facebook's free internet service has failed its users

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 3.89%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Rare London fashion label goes into administration
* In 1998, Amazon bought the website poised to become Facebook. Then they killed it.

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.22%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Alphabet Inc (GOOGL) Stock Is More Than Worth Its Premium

Negative Headlines:
* Swastika shirts pulled after backlash: 'Fashion can't reclaim this symbol from hate'
* The New Copycats: How Facebook Squashes Competition From Startups
* Vanishing app: Snapchat struggles as Facebook bites back

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 2.27%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Instagram Says Bug Gave Hackers Data on 'High-Profile' Users
* The lawyers taking on Silicon Valley sexism: 'It's far worse than people know'
* L'Oreal sacks first transgender model Munroe Bergdorf

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 2.86%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Cramer's Guide To Finding An 'Explosive Growth Story' Stock

Negative Headlines:
* Facebook accused of fake audience numbers
* Facebook May Have More Russian Troll Farms to Worry About
* Facebook says likely Russia-based group paid for political ads during US election
* Fake Russian Facebook Accounts Bought $100000 in Political Ads (Published 2017)
* Facebook says it sold $100,000 in ads to fake Russian accounts during presidential election

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.13%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook's Proposed Menlo Park Community Campus - Think The Apple Park Is Impressive? Wait Till You See These 
* Facebook millionaire Chamath Palihapitiya raises $600 million in IPO for his blank-check firm

Negative Headlines:
* NFL star Marshawn Lynch's reality show costs Facebook millions: Report
* Purged Facebook Page Tied to the Kremlin Spread Anti-Immigrant Bile (Published 2017)
* WhatsApp Co-Founder Brian Acton Steps Down
* Facebook allowed advertisers to target 'Jew haters'

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 1.08%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook arrives in San Francisco with city's largest office lease in three years - San Francisco Business Times

Negative Headlines:
* Facebook’s war on free will
* Facebook bans Rohingya group's posts as minority faces 'ethnic cleansing'
* Facebook to Turn Over Russian-Linked Ads to Congress (Published 2017)
* Facebook’s Frankenstein Moment
* Zuckerberg nixes new Facebook share class after shareholder lawsuit

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.31%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Nvidia strikes deals for AI-focused chips with Chinese tech giants
* Opinion | The More We Connect, the Better It Gets — for Facebook (Published 2017)

Negative Headlines:
* Facebook's underclass: as staffers enjoy lavish perks, contractors barely get by
* The German Far Right Finds Friends Through Facebook
* Did Russia fake black activism on Facebook to sow division in the US?
* Mark Zuckerberg clashed with Facebook execs over letting employees work on his philanthropy

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 4.91%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* With Google And Facebook Connections, OTOY's Render Token Aims To Help Fulfill Future VR Demand
* Samsung to Build Odyssey VR Headset for Windows
* How Facebook Plans To Improve Revenue And Engagement Levels Going Forward

Negative Headlines:
* Attorney who deposed Mark Zuckerberg says Facebook board lacks diversity
* Lawyer takes on Google, Facebook, Twitter over terror videos

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 1.63%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook Says Its Fake News Label Helps Reduce The Spread Of A Fake Story By 80%

Negative Headlines:
* Dove Apologizes For Facebook Ad Many Consider Racist
* Facebook's $2 billion bet on Oculus not paying off: commentary
* Facebook takes down data and thousands of posts, obscuring reach of Russian disinformation

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 0.72%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Why employees like working at Facebook
* Facebook's Marketplace Partners With Auto Dealers To Boost Used Car Sales

Negative Headlines:
* New Data Shows Mark Zuckerberg's US Tour Isn't Helping His Image
* Cambridge Analytica used data from Facebook and Politico to help Trump

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",increased in 3.86%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:
* Facebook's New Mission: Video Will Bring Us Together

Negative Headlines:
* Facebook's fight to kill fake news may hurt its profit margin
* Russia Paid in Rubles to Target U.S. Patriots, Confederates, Fans of Malcolm X
* Facebook: Too few black staffers left it vulnerable to race ads from Russia
* AltSchool to Close Elementary School in Manhattan's East Village

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.53%
You are a seasoned stock market analyst. Your task is to predict the companies' stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%,"Company news during this period are listed below:

Positive Headlines:


Negative Headlines:
* Ex-Facebook president Sean Parker: site made to exploit human 'vulnerability'

Predict META's stock price movement for this week based on this week's positive headlines and negative headlines. Give me answer in the format of {increased/decreased/flat} in {X}%",decreased in 0.95%
